,_id,asin,overall,reviewText,reviewTime,reviewerID,summary,unixReviewTime,verified
12,Row(oid='644ead17f66a6378caeefb2b'),B017OBYNZU,5,fun for all.  think of an animal amd alexa will guess it.,"03 8, 2018",A1X77XS5G6B02W,she got it again!,1520467200,FALSE
13,Row(oid='644ead18f66a6378caeefb9f'),B017OBYNZU,5,"This app suprised me, i love it and my kids too!!!  Please promote this app to the top alexa skills!  Dont allow this skill ends never!","06 2, 2017",AO07T4P9I5ZLJ,The best app ever,1496361600,FALSE
14,Row(oid='644ead18f66a6378caeefbd0'),B017OBYNZU,5,This game is so fun to play with alexa! shes smarter than i thought. She actually got it right! its was a lion!  thank you alexa!!!,"03 2, 2017",A24N49UOOCLV34,THIS GAME IS AWSOME,1488412800,FALSE
15,Row(oid='644ead18f66a6378caeefbff'),B017OBSCOS,5,"i actually enjoy playing this right before bed&hellip; not too complicated, but just the right amount to zone out and distract my brain from the everyday. alexa keeps score, making it that much easier to just concentrate and think of the longest words i can until my brain gets tired and I drift off. it&rsquo;s also a fun and appropriate game to play and compete with family and friends =)","11 11, 2017",A3A8OMO08HAM19,#ERROR!,1510358400,FALSE
16,Row(oid='644ead18f66a6378caeefd32'),B017OBSCOS,3,"I enjoy this,  but... alexa doesn't understand some words - such as six, and often ends words with s or ed to get longer words.  I have a standing list of words with letters often used.
There is no way to pause the game that I have found.","06 6, 2017",A2U8EZUSDBOD01,"Fun, but",1496707200,FALSE
17,Row(oid='644ead18f66a6378caeefdc1'),B017OBSCOS,1,I have been playing this game with alexa but she never recognize the word we spell.,"02 7, 2017",A2QFSZF0TK2T4A,Not recoginize words,1486425600,FALSE
18,Row(oid='644ead18f66a6378caeefdff'),B017OBSCOS,4,Would love to have a goal..like first to five hundred wins other than that I love it. Helped a lot once I went thru the voice training so alexa knew how I sounded when I pronounced things.still gets some wrong but it's much better.,"01 10, 2017",AYKHUXIX7Z2BM,Needs a limit but love this game,1484006400,FALSE
19,Row(oid='644ead18f66a6378caeefe2b'),B017OBHGZO,1,I can't even begin to link the account with alexa,"11 16, 2016",APPG6ZU3TLIW9,Does not link,1479254400,FALSE
20,Row(oid='644ead18f66a6378caeefe2e'),B017OBHGZO,1,"Remove the ""ask scout"" part. It would be much easier to say ""alexa, arm away mode"" or ""alexa, disarm, (input pass code)."" ""Alexa, what is the alarm status."" Less is more when it comes to alexa commands. Also, its been way too long, FIX the darn battery issue!","09 29, 2016",A19YL4QYN8YWIH,Needs less in commands.,1475107200,FALSE
21,Row(oid='644ead18f66a6378caeefe4a'),B017OC122Q,2,Doesn't understand no when asks play again. Won't stop playing even when told alexa stop. Had to unplug and plug in again to stop loop.,"10 22, 2016",AE0UCMPTWGUG7,Buggy,1477094400,FALSE
22,Row(oid='644ead18f66a6378caeefe4e'),B017OC122Q,5,"Occasionally, this skill doesn't work (alexa says she cant access it)-but when it works its awesome!  simple to follow, and fun!  great way to kill some time when I need to.  I also like to try to add things faster than she does, to know who wins before she announces it.  Great to keep the mind sharp and improve basic addition skills.","08 5, 2016",A3P71ZL6G7CDBD,A Great Skill!!,1470355200,FALSE
23,Row(oid='644ead18f66a6378caeefef5'),B017OBSCOS,3,I found it a bit frustrating because alexa didn't understand the word; guess it isn't in her dictionary and then she would cut me off. I found I couldn't use any word that was too complicated. I did enjoy the game though. It has a lot of potential. Kids can really build a vocabulary while having fun!,"12 21, 2016",A3UNQLT5RKQHY0,Has good potential but needs some tweaking!,1482278400,FALSE
24,Row(oid='644ead18f66a6378caeeff26'),B017OBSCOS,4,"stimulating game , though alexa didn't understand my word sometimes. all in all a fun game to play.","12 20, 2016",AJFN4T0TI907M,all in all a fun game to play,1482192000,FALSE
25,Row(oid='644ead18f66a6378caeeff84'),B017OBSCOS,3,So far alexa gave me 15 words in a row that hers ended in S ... annoying,"12 9, 2016",A3I0YG2DFTHQ3,Ok fun.,1481241600,FALSE
26,Row(oid='644ead18f66a6378caeeffba'),B017OBSCOS,1,I love the idea but alexa hears the wrong word everytime!,"11 23, 2016",A1STT810OQX2SJ,Hard time understand,1479859200,FALSE
27,Row(oid='644ead18f66a6378caeeffd7'),B017OBSCOS,2,Fun game but alexa hears words when a word was not said and also mishears words.,"11 12, 2016",A2OYG2RTQIXIWD,Fun but needs improvements,1478908800,FALSE
28,Row(oid='644ead18f66a6378caef00dc'),B017OBSCOS,2,"Kind of fun, but alexa can't understand any large words, so you can't get any large points.","01 3, 2016",A3L6B4YFRU1EJE,Cant understand words,1451779200,FALSE
29,Row(oid='644ead18f66a6378caef011b'),B017OJL1IE,5,I love the fact that I can ask alexa about my car. I can find out if I need gas before I get one my car.,"07 31, 2017",A3F5Y25D8HUOJ7,What a great app...,1501459200,FALSE
30,Row(oid='644ead18f66a6378caef0166'),B017RXFNKY,5,"God bless its developers and everyone behind this. Very good and a must have ""skill"". Every alexa device owner should have it.","05 12, 2018",A22II6VEGRCBD1,Thank God this skill exists,1526083200,FALSE
31,Row(oid='644ead18f66a6378caef01e4'),B017RXFNKY,4,As alexa updates she looses reading plan and always wants to start over. Hard to get her to change plan,"12 18, 2017",ADYEHLQ5QM0ZI,Great app but.,1513555200,FALSE
32,Row(oid='644ead18f66a6378caef022e'),B017RXFNKY,1,Not a king james version. I would like to request for a king james version. For now i will disable this skill for my alexa,"08 6, 2017",A2XBHWXGE56ILZ,Not kjv,1501977600,FALSE
33,Row(oid='644ead18f66a6378caef024a'),B017RXFNKY,1,"When i first started using this app, it did exactly what i wanted it to do. I would tell it to read the book of Genesis, and it would correctly start with chapter 1 then move on to 2 and so forth. When i would ask it to read a particular passage, ie, Mark 5:25-34, again it would do it perfectly. Now when i ask it to read a full book, it stops after the first chapter. Or when i ask it to read a few verses within a chapter, it will only read the first verse. Extremely frustrating and annoying. I just downloaded another bible app and it did exactly what i wanted it to do--so it seems like this is a problem with the bible app itself, not alexa.","05 18, 2017",A5GMXK85XSPFE,Almost seems like it gradually loses its skills over time,1495065600,FALSE
34,Row(oid='644ead18f66a6378caef027f'),B017RXFNKY,5,Use this Bible app every day so glad its now available on alexa,"03 24, 2017",A23LYPBWF018T5,Yeah,1490313600,FALSE
35,Row(oid='644ead18f66a6378caef0284'),B017RXFNKY,5,I used to enjoy this app thoroughly until they updated it without the ability to use the normal alexa voice. Now it is dramatized.,"03 15, 2017",A1ATN55I0SWF9P,I used to enjoy this app thoroughly until they updated it without the ...,1489536000,FALSE
36,Row(oid='644ead18f66a6378caef02ae'),B017RXFNKY,5,Pretty neat little app. As for changing the bible version i figured it out: ask alexa what versions are available. (Its the first question in the description) She will read them off and then tell you the command on how to change it version,"12 29, 2016",A1SGLITGNOBWGH,Nifty!,1482969600,FALSE
37,Row(oid='644ead18f66a6378caef02f1'),B017RXFNKY,1,I have trouble every time with this app when I ask alexa to open it she alway said I'm not sure what you want me to do,"02 23, 2016",A1U4SCQ6GQXSUU,Problems with this app,1456185600,FALSE
38,Row(oid='644ead18f66a6378caef02fd'),B017RXFNKY,1,"Disappointing.  You can not give alexa parameters to begin and end. Example John 3 verse 16 THROUGH 19. You'd have to ask for whole chapter ....or verse by verse.
This really is frustrating. Main reason I bought alexa.","01 8, 2016",A3OXHVW2JEKWLT,Not helpful,1452211200,FALSE
39,Row(oid='644ead18f66a6378caef0395'),B017YAF22Y,5,Enable alexa dot skill now,"03 30, 2017",A3GR2DMQZE5A3S,Enable skills,1490832000,FALSE
40,Row(oid='644ead18f66a6378caef03d6'),B017YAF22Y,5,"I have to say this is a very useful and great app ,if your a caregiver this app should be your number 1 app for alexa skills ,I've told so many people about it,thank you to the developers","02 6, 2017",A1DMBB7X474JQ8,Must have skill for alexa,1486339200,FALSE
41,Row(oid='644ead18f66a6378caef03d7'),B017YAF22Y,5,"Love it, i keep  alexa close  to me at all time, in case of an emergency","02 6, 2017",A1VF3O7W90JQ3V,"Love it, i keep alexa close to me at ...",1486339200,FALSE
42,Row(oid='644ead18f66a6378caef0474'),B017YAF22Y,5,I'm diabetic. So the ask my buddy app is a lifesaver. I recently had a hypo and felt so weak I had to sit down but my phone mobile phone was upstairs and house phone on kitchen table. Didn't have enough strength plus if I had stood up I knew I would end up on floor. So just shouted to alexa who was in a different room so wasn't  sure if she would hear me. Ask my buddy to contact everyone. To my amazement she responded OK !! Within 1 hour I woke up in an ambulance on way to hospital. My daughter had apparently found me via alexa and arrived within 15 min and called 999. Need I say anymore.,"12 27, 2016",A21COROWN3YD0N,I'm diabetic. So the ask my buddy app is ...,1482796800,FALSE
43,Row(oid='644ead18f66a6378caef0476'),B017YAF22Y,5,Bought my grandparents an Alexa and the dot for xmas and this was one of the first thing i set up.  They both get around very well so its not a huge scare.  Not enough for a life alert.  They would both be awkward about that.  but the fact that alexa is on both floors of their house and free i am beating the phrases in to their head.  makes me feel so much better.,"12 26, 2016",A3A5VWSC8NK3WF,Comfort knowing my grandparents have two of these devices so i set this up,1482710400,FALSE
44,Row(oid='644ead18f66a6378caef049e'),B017YBAFW0,5,"Love this skill! It's not seemless, and I would love to have the option to delete an event that was scheduled improperly (I mis-spoke or alexa misinterpreted), but still gets 5 stars in my book!","01 17, 2016",A2D9L8I5RFWF0O,Great!,1452988800,FALSE
45,Row(oid='644ead18f66a6378caef04c2'),B017YAF22Y,5,"I can now have alexa send for help if i fall. This is so wonderful. I was trying other solutions but they are expensive and complicated. I taped the simple instructions to the wall next to me. I am happy, my family was happy. I sent a donation and will gladly send another to help keep this service free for those who need it! Last year i lay on the floor overnight because my expensive help button flew out of reach when i fell. This is awesome!","12 17, 2016",AKO0FJOSVTKTY,I feel so much safer now!,1481932800,FALSE
46,Row(oid='644ead18f66a6378caef0564'),B017YAF22Y,5,Great app .. notice to users .make sure Alexa is on your account !! I couldn't figure out why it wouldnt work and then figured out alexa was in my husband's acct so switched to mine and it works perfectly !!!,"10 20, 2016",A2HL1W5IPRHMZV,Awesome app,1476921600,FALSE
47,Row(oid='644ead18f66a6378caef05b2'),B017YAF22Y,4,"I'm giving 4 stars because I believe this may have pioneered an idea for Alexa that I'm all for- not only to be used as a life alert system, but for text messaging functionality in general.

Although this doesn't fit a need for me specifically, I downloaded it interested in the functionality.  I enjoyed sending a text to my SO with a few words and adds a lot of novelty to the echo.

That being said, I think the ask my buddy skill has been obsoleted with the integration of IFTTT.  I now set a trigger, I.E.- ""Alexa, trigger Send mom I love you text"" and IFTTT sends the text I pre-wrote to the number I define.  This is awesome...but I still want more.

Using IFTTT, I've been able to send pre-written texts, and even call my own phone (find my phone) so the functionality is there.  How long until I can ask Alexa ""Call my secretary"" or ""send a text to Jim saying ""sorry brother, I'm gonna be a little late""  How long until I can use skype through alexa?

These are the things we REALLY want.  The skill here may be obsoleted by triggers, but 4 stars for developing more useful applications than making fart sounds for this exciting technology.","12 29, 2015",A1CWFNYZLL6SAU,A step in the correct direction,1451347200,FALSE
48,Row(oid='644ead18f66a6378caef060a'),B0189WBV3U,5,"It works fine, you just have to say ""alexa, ASK AGE CALCULATOR, how long ago was June 1st 1970....""?

 If you just say  ""Alexa, how long ago was June 1st 1970""?  It will not understand your question.","12 10, 2015",A2D9JC85GGZ9FU,Works fine.,1449705600,FALSE
49,Row(oid='644ead18f66a6378caef0650'),B018EWAOOW,1,I enabled it but alexa doesnt give any results when asked,"03 19, 2016",A3DV9E2JV8FG1L,Not working,1458345600,FALSE
50,Row(oid='644ead18f66a6378caef0673'),B018WUNBE6,5,Just what I wanted. Makes alexa that much better!!,"12 5, 2015",A1DS4F91HW1NI7,awesome,1449273600,FALSE
51,Row(oid='644ead18f66a6378caef06be'),B018WUNBE6,1,I enabled this skill but alexa didn't open it,"02 21, 2017",AWQOGESXG0WIF,Alexa does not find the skill,1487635200,FALSE
52,Row(oid='644ead18f66a6378caef06d4'),B018WUNBE6,5,"Ok wasn't sure to do the workout but I didn't and it was great, had fun doing it and alexa is helpful in describing the next drill, and gives neat encouragement compliments...I'm a big chick like BIG chick 200 + pounds and I was able to do the workout, so if you looking to do something...do the workout for s#!+$ and giggles!!!","01 17, 2017",A1IWQ5O16YMGI7,Great,1484611200,FALSE
53,Row(oid='644ead18f66a6378caef06fd'),B018WUNBE6,1,I have tried several times and alexa cannot retrieve the workout.,"01 7, 2017",A33GQT414VT71D,doesn't work,1483747200,FALSE
54,Row(oid='644ead18f66a6378caef070e'),B018WUNBE6,1,All these reviews on having problem accessing workout are true.  Just downloaded the app and alexa said the same thing.  Cant believe its still a problem.  Wasted my time.  Zero stars,"01 7, 2017",A1G9BGBCVWBYJA,Total Waste of time.  App doesnt work,1483747200,FALSE
55,Row(oid='644ead18f66a6378caef0717'),B018WUNBE6,1,I was ready to try out this skill but at the moment all alexa has said the last couple of days os that she is unable to access the skill. Maybe it is because i verbally activated the skill instead of goinf through the alexa app in either case I feel there is room for major improvement.,"01 7, 2017",A2IQJ7V6FHUZD2,Currently Not Working,1483747200,FALSE
56,Row(oid='644ead18f66a6378caef0763'),B018WUNBE6,4,Love it. Version 2 is almost perfect. I wish there was a way to keep track of the days I worked out. I know it remembers the number of times but is it possible to see a list of when? I suppose I can go through alexa history but I was hoping for something simpler.,"07 3, 2016",A14JJ6OK4SRCF2,"Great skill, just needs a history viewer",1467504000,FALSE
57,Row(oid='644ead18f66a6378caef07a0'),B018WUNBE6,1,"Not doing anything when I tell alexa to start 7 minute workout it does nothing
OR it will set timer for 7 minutes
What am I doing wrong
I have the app on my phone","12 28, 2015",A36NOGHJS17O9K,Not working,1451260800,FALSE
58,Row(oid='644ead18f66a6378caef07b5'),B018YICXQS,1,Recieving the signal from alexa but the IR command is not being sent to the tv.  The app works fine manually.  Hopefully its something Im just missing because this has huge potential for the echo.,"12 6, 2015",AGWJLZJ3WWRJT,Huge Potential if it works,1449360000,FALSE
59,Row(oid='644ead18f66a6378caef07c3'),B018YICXQS,3,"One of the two had a recent update, and now they aren't communicating properly. Everything was working flawlessly prior to the update (around the end of January). I am running the anymote app on android, and bought a separate anymote home ir blaster. It even has problems communicating with echo when I have the anymote app open. Echo recieves the command and ""sends"" it to anymote, but anymote doesn't take action. Even tried reinstalling the app and restoring my android to factory settings (along with my or blaster). Please fix alexa integration with anymote app. Was enjoying being remote free! Thanks","02 15, 2018",A33HCGLDSFLSWP,Newest update (Alexa or anymote) not working,1518652800,FALSE
60,Row(oid='644ead18f66a6378caef07c4'),B018YICXQS,2,This skill worked flawlessly with echo commands until the recent update.  it's  almost as if the developer wants bad reviews.  Please  fix current issues with alexa. I'm  tired of relinking  my app to alexa every time I want it to work. Go back to previous  release when the app worked.,"02 11, 2018",A20Z8JP9DKUY2W,stopped working with recent update,1518307200,FALSE
61,Row(oid='644ead18f66a6378caef07c8'),B018YICXQS,1,No matter what I do it does nothing even though alexa says command sent,"01 27, 2018",A2SYSLZBSULHZU,Can't get it to work,1517011200,FALSE
62,Row(oid='644ead18f66a6378caef07d5'),B018YICXQS,1,"Have tv paired, alexa pair3d remote works on phone, tell alexa anymote anything she says send t.v. does norhing.","01 1, 2018",A35URPKQGREFH0,Junk,1514764800,FALSE
63,Row(oid='644ead18f66a6378caef07e5'),B018YICXQS,1,"Hi, I downloaded the app and this is working, but I can't find the skill for alexa in the skill store. By the way I come from Germany and I don't know it this app available for the German skill store?","12 4, 2017",A1ZUI5Q2GKQC1K,Anymote skill for alexa is not exist in the store.,1512345600,FALSE
64,Row(oid='644ead18f66a6378caef07f1'),B018YICXQS,1,"my first time used anymote paired with echo alexa without any issue. Since I wanted to revise my anymote setting and re-started it again, i was not able to pair it with echo using the same procedure. The amazon echo constantly said anymote is not linked with echo.","10 17, 2017",A64KR02JJKYFO,my first time used anymote paired with echo alexa without ...,1508198400,FALSE
65,Row(oid='644ead18f66a6378caef0820'),B018YICXQS,4,"Given I'm not using the anymote ir blaster.
Pros:
Customizable, linking between remotes, backup system, alexa integration, has kodi remote, able to send network get commands which allowed me to port in voxcommando for more advanced playlists and control,
Cons:
Restores only work on devices of similar size and Color goes back to default, lack of reorganization when macros are built, after restore can't edit the network commands which worries me if the IP address changes since voxcommando voice commands have specific address, scheduling macros never works I have tricked the iPad by recording the voice commands and using Aida reminder app to schedule recordings at times I want my gear to trigger would rather a real time solution within the app.

Conclusion: even with a few flaws this system impressed me enough to undo my windows controller tablet, swap to an iPad use anymote its nice that any iOS app could replace it if something happened and this is the only app/ skill that doesn't require using something like AWS and tons of leg work to be up and running .

If they allow reordering of commands for easier editing then I'd give it 5 stars but it takes me forever to find a command sometimes","03 29, 2017",A3RLGYLOYTAZFZ,Good start,1490745600,FALSE
66,Row(oid='644ead18f66a6378caef082a'),B018YICXQS,1,"Started setting up remotes on my iphone 6s using anymote app.  The cable and sound bar worked, but it couldn't find the right remote for my smart TV. I had to use a generic one.  After setting up remotes, I notice that after exiting the anymote app and going back in to use the remotes, there are connection issues between anymote and my phone.  I would go into view bluetooth devices on my phone and anymote would not be there.  It seems to do this about 85% of the time.  Programming of buttons using the record method also does not work. My phone kept loosing connection to anymote and when I finally was able to connect, pointing the tv remote at anymote and pressing the command I want to program often did nothing.  If I finally get it to take the command, it does not work when trying to use it.  I was able to get alexa accept macro commands.  Alexa sends command but devices do nothing. I spend more time trying to get anymote and alexa to work than I would searching for the remotes to power on the TV, cable box and sound bar.  I would recommend against purchasing this, but if you do, I have one for sale.","02 19, 2017",A21NFRX42EN4R3,Junk,1487462400,FALSE
67,Row(oid='644ead18f66a6378caef0853'),B018YICXQS,1,"Pathetic!!

I've wasted an hour trying to get this app to do anything much less even be recognized by Alexa. I've enabled it via the app, the computer AND my echo dot. Yet any time I ask alexa to access anymote it says it's not enabled

Why put out a program you know to be so buggy it's useless???

Avoid this product. If it's any identication about AB Mobile, don't bother w their apps","01 6, 2017",A1RREQ0LV09FAA,Useless,1483660800,FALSE
68,Row(oid='644ead18f66a6378caef0867'),B018YICXQS,5,"I see a lot of 1 star reviews but I think what they are lacking is an infrared blaster on their phone. And also to pair it just go to alexa under settings in the remote app, but first remember to enable the skill in the alexa app. But remember you need the infrared blaster. As far as the smart remotes I haven't tried since you have to buy the app. And haven't had it long enough to see if it looses communication with alexa  or looses the remotes. I'll update later.","12 23, 2016",A12L7WSJCGBECG,Works so far,1482451200,FALSE
69,Row(oid='644ead18f66a6378caef086a'),B018YICXQS,2,"Paid for the full version. App needs work. Has potential but lacks sending the right command. I'm asking alexa to tell anymote to turn on my directv. What I see on my app is that the command  ""off"" was sent to directv even though I keep saying ON. Frustrating.","12 13, 2016",A24FILTXM3DVEE,Needs lots of work,1481587200,FALSE
70,Row(oid='644ead18f66a6378caef086d'),B018YICXQS,2,"Downloaded the anymote app on ipad and paired it with roku as well as echo. However, i am not able to control roku using alexa.","12 4, 2016",A2XBFL5GCFFTCM,Not working as expected!,1480809600,FALSE
71,Row(oid='644ead18f66a6378caef0871'),B018YICXQS,1,Extremely buggy. Trying to  add my wifi remote for OLED65E6P  doesn't have a power off when tv app does .also generates several duplicate remotes. At one point it auto generated 50 remotes of my tv model. After running a macro all other commands to alexa resulted I can't find a macro with that name.  I want a refund!,"11 30, 2016",A3SFB9E1BTYTY2,Avoid like the plague! $6.99 you will never get back,1480464000,FALSE
72,Row(oid='644ead18f66a6378caef0872'),B018YICXQS,1,I have enabled this yet alexa says  that  it is not so lame,"11 30, 2016",AWE96UEU3D0WW,Enabled,1480464000,FALSE
73,Row(oid='644ead18f66a6378caef087c'),B018YICXQS,5,"I have the AnyMote home unit in my living room and the addition of the echo dot with alexa integration is awesome. I noticed with channel macros you have to name like alexa hears them. For example I create a Macro for NBC but I have to name it n. b. c.  If you look at alexa last heard commands you can quickly debug errors. Way better than custom programming with tasker.

Great work!","10 22, 2016",A1G6SJ0CQGR9DT,AnyMote Home + Echo Dot = Awesome,1477094400,FALSE
74,Row(oid='644ead18f66a6378caef0881'),B018YICXQS,1,"Most of my remotes AnyMote does not have programmed , not even a simple Bose radio 2 wave ... and the few electronics that work with AnyMote don't work when I create a macro and ask alexa .... one out of 5 times it actually works .. I even tried to create macros with a half a second delay added between the tasks and it seams to work more often but alexa still has trouble to find the macros ... it is a waist of time and most of all money ... would not buy AnyMote if I had it to do it over !","09 16, 2016",ABLMF2Q5KFMF,Don't buy AnyMote,1473984000,FALSE
75,Row(oid='644ead18f66a6378caef0893'),B018YICXQS,2,"So I've had this skill and my Amazon Echo for over a month now and so far I can get everything to work for a couple of days then I may not use it for a few days after and when I try and use it again it won't work. Even the Anymote app isn't that good. I keep having to reprogram my remotes because after a week or so they stop working so I have to start over again and even though I saved a backup of the remotes once I restore them they still don't work. It's only when I start over from the beginning that I get it to work again. With this skill I have noticed that you have to have the app open on your iPhone for Alexa to use it. If the app isn't open My alexa doesn't work the remotes. I don't get why I have so many issues with my echo and the skills or linked devices but I'm sure once they figure out all the bugs and kinks then I'm sure it'll be better, I hope.","04 14, 2016",A27J6SE0DT6JFZ,Problems so far,1460592000,FALSE
76,Row(oid='644ead18f66a6378caef089c'),B018YICXQS,1,"The anymore app works great on its on. The alexa integration needs help. She receives the command and recognizes it, but never relays back to app to perform fucntion. Your best bet with echo is to use all wifi smart devices she can recognize until the bugs are worked out. Afterall, she is still in infancy.","12 27, 2015",A3CPAE4WKXY6UL,Ehhhhh,1451174400,FALSE
77,Row(oid='644ead18f66a6378caef08a6'),B018YICXQS,3,"Great potential but runs into problems.

So far commands only register if I create a macro. So if I create a macro that powers on my tv, named power and assign it to my tv remote. ""Alexa, ask anymote to power my television."" (device name in anymote must match command spoken) Works!

In also having trouble getting it to register most words. It translate most commands I try to make as ""undefined"". For example, I named my hue lights ""Lights"" in anymote, I created a macro named kitchen, that sets my kitchen lighting and assigned it to my hue remote. I say, ""alexa, ask anymote to kitchen my lights"", ""sending command undefined to lights"". So close! Most words seem to turn into ""undefined"", so far ive discovered ""power"" and ""turn"" get sent properly, theres probably more.

It also works if I step through the command piece by piece. ""Alexa, ask anymote..."", ""welcome to anymote..."", ""kitchen"", ""which device would you like me to send command kitchen to"", ""lights..."" Success! But not very convienent.","12 10, 2015",AICV3ZN7SD16H,Clearly has bugs that need squashing.,1449705600,FALSE
78,Row(oid='644ead18f66a6378caef08df'),B018YKD1T4,2,"When said in alexa's voice,  it just doesn't do it for me.  Nice idea but it should play audio clips of the real GLaDOS","12 24, 2015",A2XNYMZCBNKKKN,Not quite what I was hoping for,1450915200,FALSE
79,Row(oid='644ead18f66a6378caef094b'),B0194CJ63Q,4,"It worked great the first time I started it. I downloaded the app from google play, then when it asked me for hte pin, i said to alexa to open phone finder and she gave me the pin to enter. Once I did that in the app it worked. I truned off my ringer and hid my phone around the house, found it every time and quickly. Now if I say ""alex find my phone"" she says to download trackR. It would be nice if she could recognize I have phone finding software and use that, dont' be proprietary and try to get me to use your partnered app. I am also not sure if it works for multiple phones, will have to try that.","12 14, 2016",A16XTDU5AF30NO,It worked great the first time I started it,1481673600,FALSE
80,Row(oid='644ead18f66a6378caef0981'),B0194CJ63Q,1,"It worked great at first. It is hard to remember the exact phrase, ""open phone finder' isn't the first thing that pops to mind. But even when using thee correct term, today there is a 3-4 minute delay from the time it says, ""your phone must be ringing now"" to when the phone actually rang. In that time, I had time to open the alexa app, see that it needed a pin I didn't have, and start this review... then the phone rang.  So I tried it again, timed it, and it was 4 min later that the phone sounded off. When you are searching for a phone, that kind of delay misleads you into thinking the phone isn't in the house....and you could be out searching the car by the time the phone activates in the house.

1: Fix the delay time,
2. simplify the ""secret handshake' phrases (ie. Alexa, find my phone."" ) and
3. If I can't recall the secret handshake phrase exactly because of the catchy little name the developer used, at least get Alexa to 'list my enabled skills' so I can have a chance at guessing/recalling the phrase.","12 27, 2015",A1KD1E5FPVAPLH,Phone finder works.... in it's own time. You could be half way back to your last destination to search for your phone...,1451174400,FALSE
